ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
01A,"Afognak Lake, AK",A43,"Kodiak Island, AK"
06A,"Kizhuyak, AK",A43,"Kodiak Island, AK"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1TX,"Dumas, TX",LAS,"Las Vegas, NV"
2NY,"Port Washington, NY",ACK,"Nantucket, MA"
7AK,"Akun, AK",DUT,"Unalaska, AK"
7AK,"Akun, AK",KQA,"Akutan, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
9NY,"Shelter Island, NY",JFK,"New York, NY"
A01,"Fairbanks/Ft. Wainwright, AK",FAI,"Fairbanks, AK"
A03,"Hallo Bay, AK",A43,"Kodiak Island, AK"
A03,"Hallo Bay, AK",KLN,"Larsen Bay, AK"
A03,"Hallo Bay, AK",HOM,"Homer, AK"
A18,"Kantishna, AK",FAI,"Fairbanks, AK"
A1K,"Deadhorse1, AK",SCC,"Deadhorse, AK"
A1K,"Deadhorse1, AK",A1K,"Deadhorse1, AK"
A20,"Alpine, AK",SCC,"Deadhorse, AK"
A20,"Alpine, AK",ANC,"Anchorage, AK"
A27,"Pogo Mines, AK",FAI,"Fairbanks, AK"
A29,"Kiluda Bay, AK",A43,"Kodiak Island, AK"
A43,"Kodiak Island, AK",KLN,"Larsen Bay, AK"
A43,"Kodiak Island, AK",ALZ,"Lazy Bay, AK"
A43,"Kodiak Island, AK",AOS,"Amook Bay, AK"
A43,"Kodiak Island, AK",KKB,"Kitoi Bay, AK"
A43,"Kodiak Island, AK",KMY,"Moser Bay, AK"
A43,"Kodiak Island, AK",KOY,"Olga Bay, AK"
A43,"Kodiak Island, AK",KPR,"Port Williams, AK"
A43,"Kodiak Island, AK",KPY,"Port Bailey, AK"
A43,"Kodiak Island, AK",KZB,"Zachar Bay, AK"
A43,"Kodiak Island, AK",A43,"Kodiak Island, AK"
A43,"Kodiak Island, AK",KLN,"Larsen Bay, AK"
A43,"Kodiak Island, AK",01A,"Afognak Lake, AK"
A43,"Kodiak Island, AK",06A,"Kizhuyak, AK"
